n,pts_time,fps,frame_idx
437,619.76,25.0,15494
438,620.4,25.0,15510
439,621.0,25.0,15525
440,621.56,25.0,15539
441,622.24,25.0,15556
442,622.88,25.0,15572
443,623.56,25.0,15589
444,624.52,25.0,15613
445,625.44,25.0,15636
446,626.72,25.0,15668
447,628.72,25.0,15718
448,630.68,25.0,15767
449,635.52,25.0,15888
450,644.68,25.0,16117
451,653.8,25.0,16345
452,659.4,25.0,16485
453,663.16,25.0,16579
454,666.88,25.0,16672
455,669.04,25.0,16726
456,670.24,25.0,16756
457,671.4,25.0,16785
458,672.44,25.0,16811
459,673.64,25.0,16841
460,674.8,25.0,16870
461,675.64,25.0,16891
462,676.52,25.0,16913
463,677.84,25.0,16946
464,679.12,25.0,16978
465,680.4,25.0,17010
466,682.0,25.0,17050
467,683.56,25.0,17089
468,684.56,25.0,17114
469,685.28,25.0,17132
470,685.96,25.0,17149
471,686.48,25.0,17162
472,686.96,25.0,17174
473,687.4,25.0,17185
474,690.04,25.0,17251
475,695.64,25.0,17391
476,701.24,25.0,17531
477,704.24,25.0,17606
478,705.64,25.0,17641
479,707.0,25.0,17675
480,708.32,25.0,17708
481,709.96,25.0,17749
482,711.56,25.0,17789
483,712.68,25.0,17817
484,713.6,25.0,17840
485,714.48,25.0,17862
486,715.64,25.0,17891
487,717.44,25.0,17936
488,719.2,25.0,17980
489,720.44,25.0,18011
490,721.56,25.0,18039
491,722.64,25.0,18066
492,725.2,25.0,18130
493,730.04,25.0,18251
494,734.84,25.0,18371
495,738.28,25.0,18457
496,741.36,25.0,18534
497,744.44,25.0,18611
498,746.12,25.0,18653
499,746.96,25.0,18674
500,747.76,25.0,18694
501,749.48,25.0,18737
502,752.68,25.0,18817
503,755.84,25.0,18896
504,757.56,25.0,18939
505,758.4,25.0,18960
506,759.2,25.0,18980
507,760.48,25.0,19012
508,762.56,25.0,19064
509,764.6,25.0,19115
510,766.04,25.0,19151
511,767.24,25.0,19181
512,768.4,25.0,19210
513,769.6,25.0,19240
514,771.2,25.0,19280
515,772.76,25.0,19319
516,773.76,25.0,19344
517,774.8,25.0,19370
518,776.52,25.0,19413
519,778.2,25.0,19455
520,779.48,25.0,19487
521,780.64,25.0,19516
522,781.76,25.0,19544
523,782.48,25.0,19562
524,782.96,25.0,19574
525,783.4,25.0,19585
526,783.84,25.0,19596
527,784.32,25.0,19608
528,784.76,25.0,19619
529,785.4,25.0,19635
530,786.24,25.0,19656
531,787.08,25.0,19677
532,789.96,25.0,19749
533,795.8,25.0,19895
534,801.6,25.0,20040
535,804.8,25.0,20120
536,806.36,25.0,20159
537,807.88,25.0,20197
538,808.8,25.0,20220
539,809.32,25.0,20233
540,809.8,25.0,20245
541,810.4,25.0,20260
542,811.24,25.0,20281
543,812.04,25.0,20301
544,813.04,25.0,20326
545,814.36,25.0,20359
546,816.04,25.0,20401
547,817.68,25.0,20442
548,818.64,25.0,20466
549,819.16,25.0,20479
550,819.64,25.0,20491
551,820.2,25.0,20505
552,820.88,25.0,20522
553,821.52,25.0,20538
554,822.08,25.0,20552
555,822.64,25.0,20566
556,823.16,25.0,20579
557,823.92,25.0,20598
558,824.64,25.0,20616
559,825.16,25.0,20629
560,825.64,25.0,20641
561,826.2,25.0,20655
562,826.96,25.0,20674
563,827.68,25.0,20692
564,828.24,25.0,20706
565,828.76,25.0,20719
566,829.24,25.0,20731
567,830.08,25.0,20752
568,831.4,25.0,20785
569,832.68,25.0,20817
570,833.56,25.0,20839
571,834.12,25.0,20853
572,834.68,25.0,20867
573,835.36,25.0,20884
574,836.32,25.0,20908
575,837.24,25.0,20931
576,837.88,25.0,20947
577,838.36,25.0,20959
578,838.8,25.0,20970
579,839.24,25.0,20981
580,839.72,25.0,20993
581,840.16,25.0,21004
582,840.64,25.0,21016
583,841.16,25.0,21029
584,841.64,25.0,21041
585,842.4,25.0,21060
586,843.6,25.0,21090
587,844.76,25.0,21119
588,845.76,25.0,21144
589,846.84,25.0,21171
590,847.88,25.0,21197
591,849.24,25.0,21231
592,851.24,25.0,21281
593,853.2,25.0,21330
594,854.72,25.0,21368
595,856.24,25.0,21406
596,857.72,25.0,21443
597,860.32,25.0,21508
598,864.92,25.0,21623
599,869.48,25.0,21737
600,871.76,25.0,21794
601,872.48,25.0,21812
602,873.16,25.0,21829
603,874.16,25.0,21854
604,875.68,25.0,21892
605,877.16,25.0,21929
606,878.24,25.0,21956
607,879.16,25.0,21979
608,880.04,25.0,22001
609,881.36,25.0,22034
610,883.48,25.0,22087
611,885.56,25.0,22139
612,886.76,25.0,22169
613,887.36,25.0,22184
614,887.92,25.0,22198
615,888.8,25.0,22220
616,890.2,25.0,22255
617,891.56,25.0,22289
618,892.8,25.0,22320
619,894.2,25.0,22355
620,895.6,25.0,22390
621,896.96,25.0,22424
622,898.64,25.0,22466
623,900.32,25.0,22508
624,901.28,25.0,22532
625,901.76,25.0,22544
626,902.2,25.0,22555
627,902.84,25.0,22571
628,903.72,25.0,22593
629,904.56,25.0,22614
630,905.36,25.0,22634
631,906.32,25.0,22658
632,907.24,25.0,22681
633,908.32,25.0,22708
634,909.84,25.0,22746
635,911.32,25.0,22783
636,912.84,25.0,22821
637,914.72,25.0,22868
638,916.56,25.0,22914
639,917.8,25.0,22945
640,918.64,25.0,22966
641,919.48,25.0,22987
642,920.2,25.0,23005
643,920.84,25.0,23021
644,921.6,25.0,23040
645,922.32,25.0,23058
646,922.88,25.0,23072
647,923.4,25.0,23085
648,923.88,25.0,23097
649,924.64,25.0,23116
650,925.84,25.0,23146
651,927.0,25.0,23175
652,928.04,25.0,23201
653,929.16,25.0,23229
654,930.28,25.0,23257
655,931.28,25.0,23282
656,932.48,25.0,23312
657,933.64,25.0,23341
658,936.0,25.0,23400
659,940.2,25.0,23505
660,944.4,25.0,23610
661,946.64,25.0,23666
662,947.6,25.0,23690
663,948.52,25.0,23713
664,950.16,25.0,23754
665,952.96,25.0,23824
666,955.72,25.0,23893
667,957.2,25.0,23930
668,957.76,25.0,23944
669,958.32,25.0,23958
670,959.08,25.0,23977
671,960.2,25.0,24005
672,961.32,25.0,24033
673,962.48,25.0,24062
674,964.0,25.0,24100
675,965.48,25.0,24137
676,966.36,25.0,24159
677,966.84,25.0,24171
678,967.28,25.0,24182
679,967.96,25.0,24199
680,969.0,25.0,24225
681,970.0,25.0,24250
682,970.76,25.0,24269
683,971.44,25.0,24286
684,972.08,25.0,24302
685,972.68,25.0,24317
686,973.44,25.0,24336
687,974.16,25.0,24354
688,975.08,25.0,24377
689,976.04,25.0,24401
690,977.0,25.0,24425
691,977.92,25.0,24448
692,978.76,25.0,24469
693,979.8,25.0,24495
694,980.8,25.0,24520
695,981.76,25.0,24544
696,983.0,25.0,24575
697,984.2,25.0,24605
698,985.32,25.0,24633
699,986.68,25.0,24667
700,988.0,25.0,24700
701,989.44,25.0,24736
702,991.32,25.0,24783
703,993.16,25.0,24829
704,994.4,25.0,24860
705,995.28,25.0,24882
706,996.12,25.0,24903
707,996.96,25.0,24924
708,997.96,25.0,24949
709,998.92,25.0,24973
710,1001.48,25.0,25037
711,1006.36,25.0,25159
712,1011.2,25.0,25280
713,1014.32,25.0,25358
714,1016.56,25.0,25414
715,1018.8,25.0,25470
716,1020.12,25.0,25503
717,1020.96,25.0,25524
718,1021.76,25.0,25544
719,1022.44,25.0,25561
720,1023.12,25.0,25578
721,1023.76,25.0,25594
722,1024.76,25.0,25619
723,1026.32,25.0,25658
724,1027.84,25.0,25696
725,1028.92,25.0,25723
726,1029.8,25.0,25745
727,1030.64,25.0,25766
728,1031.32,25.0,25783
729,1031.88,25.0,25797
730,1032.44,25.0,25811
731,1033.12,25.0,25828
732,1034.08,25.0,25852
733,1035.0,25.0,25875
734,1035.84,25.0,25896
735,1036.76,25.0,25919
736,1037.64,25.0,25941
737,1038.56,25.0,25964
738,1039.76,25.0,25994
739,1040.92,25.0,26023
740,1041.68,25.0,26042
741,1042.2,25.0,26055
742,1042.68,25.0,26067
743,1043.28,25.0,26082
744,1044.04,25.0,26101
745,1044.76,25.0,26119
746,1045.6,25.0,26140
747,1046.64,25.0,26166
748,1048.04,25.0,26201
749,1049.4,25.0,26235
750,1050.48,25.0,26262
751,1051.52,25.0,26288
752,1052.52,25.0,26313
753,1053.52,25.0,26338
754,1054.68,25.0,26367
755,1055.8,25.0,26395
756,1056.6,25.0,26415
757,1057.2,25.0,26430
758,1057.76,25.0,26444
759,1058.48,25.0,26462
760,1059.52,25.0,26488
761,1060.52,25.0,26513
762,1061.32,25.0,26533
763,1062.16,25.0,26554
764,1062.96,25.0,26574
765,1064.24,25.0,26606
766,1066.4,25.0,26660
767,1068.52,25.0,26713
768,1069.96,25.0,26749
769,1071.04,25.0,26776
770,1072.36,25.0,26809
771,1073.64,25.0,26841
772,1074.88,25.0,26872
773,1076.36,25.0,26909
774,1077.8,25.0,26945
775,1079.16,25.0,26979
776,1080.8,25.0,27020
777,1082.4,25.0,27060
778,1083.48,25.0,27087
779,1084.6,25.0,27115
780,1086.48,25.0,27162
781,1088.32,25.0,27208
782,1090.08,25.0,27252
783,1092.32,25.0,27308
784,1094.52,25.0,27363
785,1096.68,25.0,27417
786,1099.44,25.0,27486
787,1102.16,25.0,27554
788,1103.72,25.0,27593
789,1104.48,25.0,27612
790,1105.2,25.0,27630
791,1106.76,25.0,27669
792,1109.52,25.0,27738
793,1112.24,25.0,27806
794,1113.72,25.0,27843
795,1114.28,25.0,27857
796,1114.84,25.0,27871
797,1115.92,25.0,27898
798,1117.88,25.0,27947
799,1119.8,25.0,27995
800,1123.8,25.0,28095
801,1131.2,25.0,28280
802,1138.56,25.0,28464
803,1142.24,25.0,28556
804,1143.48,25.0,28587
805,1144.68,25.0,28617
806,1145.84,25.0,28646
807,1146.92,25.0,28673
808,1148.04,25.0,28701
809,1149.12,25.0,28728
810,1150.12,25.0,28753
811,1151.36,25.0,28784
812,1152.56,25.0,28814
813,1154.72,25.0,28868
814,1158.56,25.0,28964
815,1162.36,25.0,29059
816,1164.84,25.0,29121
817,1166.76,25.0,29169
818,1168.64,25.0,29216
819,1170.24,25.0,29256
820,1171.96,25.0,29299
821,1173.64,25.0,29341
822,1177.04,25.0,29426
823,1183.2,25.0,29580
824,1189.32,25.0,29733
825,1192.48,25.0,29812
826,1193.68,25.0,29842
827,1194.84,25.0,29871
828,1196.76,25.0,29919
829,1200.0,25.0,30000
830,1203.2,25.0,30080
831,1204.96,25.0,30124
832,1205.8,25.0,30145
833,1206.6,25.0,30165
834,1207.16,25.0,30179
835,1207.64,25.0,30191
836,1208.08,25.0,30202
837,1208.72,25.0,30218
838,1209.76,25.0,30244
839,1210.76,25.0,30269
840,1211.6,25.0,30290
841,1212.32,25.0,30308
842,1213.08,25.0,30327
843,1213.8,25.0,30345
844,1214.64,25.0,30366
845,1215.76,25.0,30394
846,1216.84,25.0,30421
847,1217.72,25.0,30443
848,1218.6,25.0,30465
849,1219.44,25.0,30486
850,1220.08,25.0,30502
851,1220.6,25.0,30515
852,1221.08,25.0,30527
853,1223.44,25.0,30586
854,1228.4,25.0,30710
855,1233.32,25.0,30833
856,1235.96,25.0,30899
857,1237.2,25.0,30930
858,1238.92,25.0,30973
859,1240.6,25.0,31015
860,1241.96,25.0,31049
861,1243.32,25.0,31083
862,1244.64,25.0,31116
863,1245.72,25.0,31143
864,1246.84,25.0,31171
865,1247.92,25.0,31198
866,1250.52,25.0,31263
867,1255.4,25.0,31385
868,1260.24,25.0,31506
869,1263.08,25.0,31577
870,1264.68,25.0,31617
871,1266.24,25.0,31656
